key	doc_count
DeKooning, Willem	9
Demetrius <Cydonius>	9
Documentaires.	9
Düsseldorf <1984>	9
Düsseldorf <2003>	9
Exhibitions	9
Field recordings.	9
Films d'aventures.	9
Florenz <1986>	9
Florenz <1996>	9
Formelsammlung.	9
Frankfurt <Main, 1985>	9
Gelegenheitsschrift: Promotion	9
Gospel music.	9
Hamburg <1999>	9
Handboeken (vorm)	9
Hannover <1989>	9
Humanistische Handschrift	9
Karlsruhe <2003>	9
Kindertagesstätten	9
Kirchliches Verfassungsrecht	9
Kommentar: lit.	9
Künstlerbuch.	9
Legal Cases	9
London <1978>	9
London <2000>	9
Los Angeles <Calif., 1989>	9
Monodramas (Music)	9
Musiktradition	9
München <1980>	9
München <2003>	9
Official gazettes.	9
Oldenburg <Oldenburg, 1991>	9
Pastoral music.	9
Pictorial works	9
Poetry	9
Political fiction.	9
Register	9
Sachbücher und Sachbilderbücher für Kinder und Jugendliche: Naturwissenschaft, Technik	9
Science fiction.	9
Spannung	9
Specimens.	9
Statistik 1982 -	9
Statistik 1995	9
Strafgesetzbuch	9
Streitschrift	9
Stuttgart <1985>	9
Topographie	9
Tragedies.	9
Translations	9
Truth and Reconciliation Commission	9
VanVechten, Carl	9
Verwaltungsvorschrift	9
Washington <DC, 1994>	9
Wedding music.	9
Wien <1984>	9
Wien <1999>	9
Wien <2003>	9
Zürich <1984>	9
[Périodiques]	9
newspapers.	9
Altertumskunde	8
Annotations (Provenance)	8
Aphorismus	8
Atlas.	8
Audiovisuelles Material	8
Basel <2002>	8
Bergmann, Schmuel M.	8
Bildschirmtext	8
Bio-bibliography.	8
Briefsammlung.	8
Celle <2000>	8
Comedy films.	8
Czasopismo językoznawcze.	8
Dokumentationsstellen	8
Düsseldorf <1991>	8
Erzählende Literatur: Anthologien	8
Fantastische Literatur	8
Field guides.	8
Formularsammlung.	8
Frankfurt <Main, 1990>	8
Frankfurt <Main, 1993>	8
Frankfurt <Main, 1998>	8
Frankfurt <Main, 2001>	8
Genealogie	8
Geschenkbücher	8
Grundgesetz	8
Hamburg <1994>	8
Heiligenvita	8
Horror	8
Instructional and educational works.	8
Integrierter Tarif	8
Internationaler Vergleich	8
Journaux.	8
Jugendsachbuch.	8
Karlsruhe <1990>	8
Karlsruhe <1993>	8
Katalog.	8
Kirchenlied	8
Kleinkindturnen	8
Kongress Peking <2005>	8
Konzeption	8
Kriegskunde	8
Kunstführer.	8
Köln <1989>	8
Landtier	8
Lenten music.	8
Librettos.	8
London <1979>	8
Longitudinal studies.	8
Los Angeles <Calif., 1992>	8
Microtonal music.	8
Morning service music.	8
München <1979>	8
München <2001>	8
New York <NY, 1976>	8
New York <NY, 1982>	8
Nitratwirkung	8
Nürnberg <1990>	8
Nürnberg <1991>	8
Ordensliteratur:Dominikaner	8
Organ masses.	8
Pappbilderbücher mit und ohne Zusatzteile, Fühlbilderbücher	8
Puzzle	8
Rom <1996>	8
Romans.	8
Sachbücher und Sachbilderbücher für Kinder und Jugendliche: Mensch	8
Series.	8
Shape-note hymnals.	8
Songs without words (Instrumental music)	8
Statistik 1982-	8
Statutes and codes.	8
Streitschrift: jur.	8
Stuttgart <1986>	8
Stuttgart <1989>	8
Tonträger <für Kinder>	8
Venedig <1990>	8
Verlag	8
Washington <DC, 1984>	8
Washington <DC, 1986>	8
Washington <DC, 1990>	8
Washington <DC, 2003>	8
Weltgeschichte 1871-1945	8
Wien <1983>	8
Wien <1994>	8
Zürich <1987>	8
